RAINFALL,TMAX,TMIN,RH,WIND_SPEED,BAROMETRIC_AIR_PRESSURE
0,32.4,25.2,73,2,1004
0,33.1,27.2,70,1,1005.1
5.2,32.4,25,80,2,1005.3
97.1,31.9,24,80,1,1005.2
1.4,31,23.8,81,1,1005.1
12.6,34,24,77,2,1004.7
0.9,32.4,25.5,78,1,1004.9
35.5,32.7,24.8,78,1,1004.7
14.6,29.9,23.9,91,1,1004.6
-1,32.8,24.8,76,1,1004.5
-1,32.2,25.6,73,2,1003
-1,32.1,26,72,2,1001.7
6.2,31.2,25.6,73,2,1002.5
0.7,31.4,25.6,78,1,1003.7
8.2,31.9,26.4,74,1,1003.7
6.2,31.3,25.5,78,2,1003.3
1.6,31.6,25.2,72,2,1002.7
-1,31.7,26,75,2,1002.3
3.7,33,25,74,1,1000.7
17.9,32.4,24,81,2,1000.2
0.8,32.2,25.2,80,1,1000.6
24.2,31.1,23.8,80,1,1001
2.8,31.7,25.6,78,2,1000.6
14.6,29.8,25,84,2,1001.5
-1,29.5,24.8,80,2,1002.3
31.8,31.4,24,83,1,1001.1
21.2,31.6,24.8,78,2,1000.5
42.8,29,25,86,2,1000
89.9,28.6,24.8,89,1,998
142,26.1,24.5,96,2,999.3
11.7,29.2,24.8,86,2,1001.6
54.5,29.5,23.4,88,2,1002.7
69.7,28.4,25,86,2,1000.9
65,30.4,24.5,81,3,999.6
25.7,26.2,24.5,94,1,1002.1
6.4,28.3,25.2,91,1,1003.6
13.6,29.8,24.6,86,1,1003.4
0,30.5,24.9,82,1,1003.1
1.1,30,24.3,81,1,1002.4
9,28.3,24.5,85,1,1002.7
47.7,30.2,25.2,88,1,1002.4
0.6,32,26.4,81,2,1002.1
54.6,30.8,26.2,82,2,1002.6
0.4,32.2,26.2,82,2,1002.2
5.4,31.4,25.3,81,2,1002.1
73,30,25.2,82,2,1002.1
-1,30.6,25.8,78,1,1001.5
16.8,31.5,24.4,81,1,1000.3
-1,31,24.4,81,1,1001.2
-1,30.8,25,77,1,1000.3
17.1,30.7,24.9,84,1,1000.1
13.4,31.4,25.5,76,2,1001.3
17.8,29.8,25.2,83,1,1003.3
27.8,28.4,25.5,86,2,1002.1
270.1,27.8,24.1,91,2,1000.1
52.6,27.8,25,89,2,999.1
11,29,25.6,85,3,1000.9
11.3,30.4,25.5,81,2,1001.4
1.4,30.4,26.8,78,2,1002.2
28.8,30.5,25,80,2,1000.4
16.2,30.6,24.6,84,2,1000
2.2,29.8,25,83,2,1001.3
21.6,30.1,25.2,80,2,1002.3
44.2,28.2,25.6,87,1,1001.7
17.2,30.7,26.2,81,2,1000.7
0.6,30.3,26.3,79,3,1001.6
-1,30.4,27.4,78,2,1003
37.4,30.6,25.6,80,2,1002.9
6.2,30.3,25.6,82,2,1001.1
0,29.8,25.4,82,1,1002.6
0,32.2,25.4,77,1,1004.8
0,32.8,24.7,70,2,1005.6
0,33,24.5,69,1,1004.6
2.2,32.7,24.6,72,1,1005.4
24.6,31.7,24.4,81,1,1005.4
-1,31.8,24.9,80,1,1003.6
115.7,32,24.1,78,1,1002.1
0.2,31.1,25.4,78,1,1003
