,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,BAROMETRIC_AIR_PRESSURE
0,0.7871720116618076,0.992183730579948,0.9924139272515075,0.9808394160583942,0.9980059820538385,0.996223227153009
1,0.7871720116618076,0.9925697191932837,0.9945535887959541,0.9726277372262774,0.9980059820538385,0.9958256721164837
2,0.7863840516901742,0.9926662163466179,0.9943590741100953,0.9744525547445255,0.9980059820538385,0.9963226159121404
3,0.7871720116618076,0.9951751423333012,0.9939700447383777,0.9771897810218978,0.9970089730807578,0.9964716990508374
4,0.7871720116618076,0.9954646337933031,0.9951371328535304,0.9744525547445255,0.9970089730807578,0.9963226159121404
5,0.7871720116618076,0.9962366110199751,0.9939700447383777,0.968978102189781,0.9970089730807578,0.9964220046712716
6,0.7906390355369948,0.9939206793399595,0.9939700447383777,0.9844890510948905,0.9970089730807578,0.9969189484669284
7,0.8013552911512096,0.9946926565666313,0.9929974713090838,0.9890510948905109,0.9970089730807578,0.9967201709486657
8,0.7871720116618076,0.9957541252533052,0.9940673020813071,0.9790145985401459,0.9970089730807578,0.9969686428464941
9,0.7863840516901742,0.9943066679532955,0.9949426181676716,0.9762773722627737,0.9970089730807578,0.9970183372260597
10,0.7863840516901742,0.9926662163466179,0.9951371328535304,0.9735401459854015,0.9980059820538385,0.9971177259851911
11,0.7871720116618076,0.9924732220399499,0.9929974713090838,0.9762773722627737,0.9990029910269193,0.9974158922625851
12,0.7871720116618076,0.9931487021132878,0.9925111845944369,0.968978102189781,0.9980059820538385,0.9974158922625851
13,0.7871720116618076,0.9929557078066198,0.9929974713090838,0.9717153284671532,0.9970089730807578,0.9971177259851911
14,0.7871720116618076,0.9934381935732897,0.9929974713090838,0.9708029197080292,0.9970089730807578,0.996074144014312
15,0.8096288708533607,0.9933416964199557,0.9942618167671659,0.9835766423357665,0.9970089730807578,0.995626894598221
16,0.787487195650461,0.9918942391199461,0.9938727873954483,0.9863138686131386,0.9970089730807578,0.995626894598221
17,0.787487195650461,0.9942101707999614,0.9949426181676716,0.9817518248175182,0.9970089730807578,0.9963226159121404
18,0.7871720116618076,0.9932451992666216,0.9934837580237308,0.9753649635036497,0.9970089730807578,0.9964716990508374
19,0.7871720116618076,0.9948856508732993,0.9934837580237308,0.9735401459854015,0.9970089730807578,0.996074144014312
20,0.7871720116618076,0.9934381935732897,0.9941645594242365,0.9817518248175182,0.9970089730807578,0.995775977736918
21,0.787487195650461,0.9929557078066198,0.9928029566232249,0.9844890510948905,0.9970089730807578,0.9957262833573524
22,0.7875659916476243,0.9928592106532859,0.9928029566232249,0.9799270072992701,0.9970089730807578,0.9953784227003926
23,0.7997793712079427,0.992183730579948,0.9935810153666602,0.9927007299270073,0.9970089730807578,0.9954281170799583
24,0.7871720116618076,0.9944031651066294,0.9935810153666602,0.9781021897810219,0.9970089730807578,0.9956765889777865
25,0.7905602395398313,0.9948856508732993,0.9949426181676716,0.9799270072992701,0.9970089730807578,0.9954281170799583
26,0.795287999369632,0.9892888159799287,0.9943590741100953,0.9945255474452555,0.9970089730807578,0.9957262833573524
27,0.7863840516901742,0.9915082505066101,0.9929974713090838,0.9817518248175182,0.9970089730807578,0.9959747552551806
28,0.7889055235994012,0.9930522049599536,0.9937755300525188,0.9826642335766423,0.9970089730807578,0.9961238383938776
29,0.7871720116618076,0.9941136736466275,0.9938727873954483,0.9781021897810219,0.9970089730807578,0.9963226159121404
30,0.7863840516901742,0.9917012448132781,0.9929974713090838,0.9844890510948905,0.9970089730807578,0.9972171147443225
31,0.7871720116618076,0.9943066679532955,0.9926084419373663,0.9753649635036497,0.9970089730807578,0.9966704765691
32,0.7871720116618076,0.9945961594132974,0.9920248978797899,0.9762773722627737,0.9970089730807578,0.9969189484669284
33,0.7871720116618076,0.9927627134999517,0.9929002139661544,0.9717153284671532,0.9970089730807578,0.9971177259851911
34,0.7871720116618076,0.9948856508732993,0.9938727873954483,0.9708029197080292,0.9980059820538385,0.9968195597077971
35,0.7875659916476243,0.9926662163466179,0.9925111845944369,0.9753649635036497,0.9980059820538385,0.9971177259851911
36,0.7863840516901742,0.9922802277332818,0.991538611165143,0.9735401459854015,0.9970089730807578,0.9964716990508374
37,0.7873296036561344,0.9909292675866064,0.9929974713090838,0.9844890510948905,0.9980059820538385,0.9958753664960494
38,0.7871720116618076,0.9926662163466179,0.9916358685080723,0.9771897810218978,0.9970089730807578,0.9955772002186554
39,0.7871720116618076,0.9931487021132878,0.9939700447383777,0.9735401459854015,0.9970089730807578,0.9958256721164837
40,0.7871720116618076,0.9931487021132878,0.9953316475393892,0.9799270072992701,0.9970089730807578,0.9966704765691
41,0.787487195650461,0.9929557078066198,0.995039875510601,0.9817518248175182,0.9970089730807578,0.9970680316056255
42,0.7871720116618076,0.9951751423333012,0.9951371328535304,0.9698905109489051,0.9980059820538385,0.9977637529195448
43,0.7871720116618076,0.9936311878799576,0.9939700447383777,0.9698905109489051,0.9980059820538385,0.9979625304378076
44,0.7873296036561344,0.9929557078066198,0.995039875510601,0.9744525547445255,0.9970089730807578,0.9976146697808478
45,0.7871720116618076,0.9944996622599633,0.9939700447383777,0.9762773722627737,0.9970089730807578,0.9973661978830195
46,0.7871720116618076,0.9961401138666409,0.9947481034818128,0.968065693430657,0.9980059820538385,0.9966207821895344
47,0.7871720116618076,0.9968155939399788,0.9934837580237308,0.9726277372262774,0.9980059820538385,0.9964716990508374
48,0.7871720116618076,0.9964296053266428,0.9929002139661544,0.9726277372262774,0.9970089730807578,0.9968692540873627
